Date, Symbol, Underlying Close Price (A), Underlying Previous Day Close Price (B), Underlying Log Returns (C) = LN(A/B), Previous Day Underlying Volatility (D), Current Day Underlying Daily Volatility (E) = Sqrt (0.995*D*D + 0.005* C*C), Underlying Annualised Volatility (F) = E*sqrt(365), Futures Close Price (G), Futures Previous Day Close Price (H), Futures Log Returns (I) = LN(G/H), Previous Day Futures Volatility (J), Current Day Futures Daily Volatility (K) = Sqrt (0.995*J*J + 0.005* I*I), Futures Annualised Volatility (L) = K*sqrt(365), Applicable Daily Volatility (M) = Max (E or K), Applicable Annualised Volatility (N) = Max (F or L)
27-Jul-26,ASHOKLEY,155.05,151.07,  0.02600434,  0.02272301,  0.02274070,  0.43446046,155.32,151.36,  0.02582640,  0.02231642,  0.02233528,  0.42671493,  0.02274070,  0.43446046
27-Jul-26,ASIANPAINT,,,  0.02700239,  0.01453136,  0.01462019,  0.27931827,2710,2643.4,  0.02488267,  0.01446935,  0.01453998,  0.27778456,  0.01462019,  0.27931827
27-Jul-26,ASTRAL,1465.7,1468.1, -0.00163610,  0.01928178,  0.01923394,  0.36746390,1461.3,1469.5, -0.00559576,  0.01908357,  0.01903984,  0.36375563,  0.01923394,  0.36746390
27-Jul-26,AUBANK,1051.2,1003.9,  0.04603995,  0.01926590,  0.01949135,  0.37238163,1050.9,1007.3,  0.04237346,  0.01870759,  0.01889967,  0.36107769,  0.01949135,  0.37238163
27-Jul-26,AUROPHARMA,1549.4,1532,  0.01129369,  0.01728606,  0.01726134,  0.32977734,1551.2,1534.6,  0.01075906,  0.01736365,  0.01733699,  0.33122276,  0.01733699,  0.33122276
27-Jul-26,AXISBANK,1227.5,1227.3,  0.00016295,  0.01540517,  0.01536664,  0.29357919,1228.7,1229.4, -0.00056955,  0.01515400,  0.01511600,  0.28879075,  0.01536664,  0.29357919
27-Jul-26,BAJAJ-AUTO,11183.5,11130,  0.00479531,  0.01568555,  0.01564996,  0.29899422,11210.5,11160.5,  0.00447008,  0.01554269,  0.01550701,  0.29626094,  0.01564996,  0.29899422
27-Jul-26,BAJAJFINSV,1913,1876.7,  0.01915778,  0.01525970,  0.01528171,  0.29195675,1911.2,1873.8,  0.01976286,  0.01556468,  0.01558851,  0.29781801,  0.01558851,  0.29781801
27-Jul-26,BAJAJHLDNG,10810,10679,  0.01219244,  0.01911506,  0.01908681,  0.36465300,,10670,,  0.01917123,  0.01914814,  0.36582470,  0.01914814,  0.36582470
27-Jul-26,BAJFINANCE,1048.2,1012.8,  0.03435563,  0.01818424,  0.01830068,  0.34963573,1047.3,1015.2,  0.03112979,  0.01801416,  0.01810339,  0.34586480,  0.01830068,  0.34963573
27-Jul-26,BANDHANBNK,169.43,165.93,  0.02087385,  0.02760727,  0.02757767,  0.52687061,169.36,166.27,  0.01841365,  0.02766811,  0.02762947,  0.52786032,  0.02762947,  0.52786032
27-Jul-26,BANKBARODA,244.05,246.45, -0.00978601,  0.01878033,  0.01874608,  0.35814326,244.45,246.55, -0.00855402,  0.01898786,  0.01895002,  0.36203957,  0.01895002,  0.36203957
27-Jul-26,BANKEX,64802.3,64297,  0.00782859,  0.01113822,  0.01112412,  0.21252609,64834.7,64472.2,  0.00560528,  0.01127730,  0.01125616,  0.21504863,  0.01125616,  0.21504863
27-Jul-26,BANKINDIA,137.87,142.62, -0.03387254,  0.02169146,  0.02176934,  0.41590265,137.76,142.68, -0.03509132,  0.02184679,  0.02193287,  0.41902681,  0.02193287,  0.41902681
27-Jul-26,BANKNIFTY,57087.2,56693.5,  0.00692036,  0.01097048,  0.01095389,  0.20927378,57176.4,56844.6,  0.00582000,  0.01083144,  0.01081216,  0.20656599,  0.01095389,  0.20927378
27-Jul-26,BDL,1256.4,1243,  0.01072268,  0.02584813,  0.02579466,  0.49280619,1256.4,1242.8,  0.01088359,  0.02712597,  0.02706904,  0.51715337,  0.02706904,  0.51715337
27-Jul-26,BEL,407.15,405,  0.00529460,  0.01781876,  0.01777810,  0.33965108,406.85,405.75,  0.00270736,  0.01778961,  0.01774611,  0.33903889,  0.01777810,  0.33965108
27-Jul-26,BHARATFORG,2181.3,2151.6,  0.01370928,  0.01944423,  0.01941982,  0.37101510,2182,2155,  0.01245116,  0.01971732,  0.01968759,  0.37613093,  0.01968759,  0.37613093
27-Jul-26,BHARTIARTL,1905.3,1898.2,  0.00373341,  0.01299343,  0.01296362,  0.24766968,1906.5,1901.2,  0.00278383,  0.01247329,  0.01244351,  0.23773292,  0.01296362,  0.24766968
27-Jul-26,BHEL,415.95,417.3, -0.00324033,  0.02454700,  0.02448672,  0.46781822,416.95,417.5, -0.00131823,  0.02470936,  0.02464764,  0.47089242,  0.02464764,  0.47089242
27-Jul-26,BIOCON,436.25,433.65,  0.00597772,  0.01837220,  0.01833115,  0.35021608,436.95,433.95,  0.00688945,  0.01837134,  0.01833193,  0.35023109,  0.01833193,  0.35023109
27-Jul-26,BLUESTARCO,1643.2,1637.2,  0.00365809,  0.02121342,  0.02116192,  0.40429791,1648.4,1642.5,  0.00358565,  0.02151200,  0.02145974,  0.40998775,  0.02145974,  0.40998775
27-Jul-26,BOSCHLTD,41250,41755, -0.01216809,  0.01736713,  0.01734509,  0.33137752,41425,41745, -0.00769512,  0.01747542,  0.01744016,  0.33319379,  0.01744016,  0.33319379
27-Jul-26,BPCL,316.2,310.15,  0.01931887,  0.01931682,  0.01931684,  0.36904775,316.9,310.75,  0.01959754,  0.01947280,  0.01947343,  0.37203930,  0.01947343,  0.37203930
27-Jul-26,BRITANNIA,5384.5,5379.5,  0.00092902,  0.01280774,  0.01277592,  0.24408360,5383,5375,  0.00148727,  0.01292534,  0.01289324,  0.24632509,  0.01289324,  0.24632509
27-Jul-26,BSE,3536.8,3549.7, -0.00364073,  0.02807098,  0.02800190,  0.53497554,3542.8,3554.3, -0.00324076,  0.02805792,  0.02798868,  0.53472300,  0.02800190,  0.53497554
27-Jul-26,CAMS,785.05,761.45,  0.03052290,  0.02082297,  0.02088277,  0.39896483,784.85,762.05,  0.02948045,  0.02149112,  0.02153848,  0.41149209,  0.02153848,  0.41149209
27-Jul-26,CANBK,127.24,125.65,  0.01257480,  0.01987296,  0.01984303,  0.37910062,127.64,126.06,  0.01245582,  0.02004795,  0.02001715,  0.38242704,  0.02001715,  0.38242704
27-Jul-26,CDSL,1329,1333.1, -0.00308028,  0.02249022,  0.02243498,  0.42861972,1329.2,1332.8, -0.00270473,  0.02328232,  0.02322491,  0.44371119,  0.02322491,  0.44371119
27-Jul-26,CGPOWER,877.05,867.7,  0.01071797,  0.02204081,  0.02199876,  0.42028569,878.6,,,  0.02200832,  0.02195681,  0.41948420,  0.02199876,  0.42028569
27-Jul-26,CHOLAFIN,1784.9,1724.4,  0.03448323,  0.02137800,  0.02146347,  0.41005894,1787.2,1725.8,  0.03495944,  0.02108458,  0.02117659,  0.40457821,  0.02146347,  0.41005894
27-Jul-26,CIPLA,1409.4,1410.6, -0.00085106,  0.01401446,  0.01397968,  0.26708149,1405.8,1409.1, -0.00234467,  0.01389707,  0.01386333,  0.26485849,  0.01397968,  0.26708149
27-Jul-26,COALINDIA,427.5,427.4,  0.00023395,  0.01505240,  0.01501473,  0.28685603,428,428.5, -0.00116754,  0.01519736,  0.01515955,  0.28962283,  0.01515955,  0.28962283
27-Jul-26,COCHINSHIP,1402.3,1392.4,  0.00708487,  0.02710106,  0.02703791,  0.51655856,1402.8,1392.9,  0.00708233,  0.02700517,  0.02694224,  0.51473077,  0.02703791,  0.51655856
27-Jul-26,COFORGE,1528,1484.7,  0.02874696,  0.02437006,  0.02439390,  0.46604484,1524.4,1483.7,  0.02706192,  0.02409687,  0.02411262,  0.46067096,  0.02439390,  0.46604484
27-Jul-26,COLPAL,2136.6,2086.1,  0.02391949,  0.01548307,  0.01553680,  0.29683009,2137.8,2087.4,  0.02385799,  0.01571642,  0.01576772,  0.30124187,  0.01576772,  0.30124187
27-Jul-26,CONCOR,510.5,477.55,  0.06672177,  0.01812896,  0.01868892,  0.35705129,510.3,477.3,  0.06685356,  0.01821112,  0.01877042,  0.35860844,  0.01877042,  0.35860844
27-Jul-26,CROMPTON,249.1,250.15, -0.00420632,  0.01828495,  0.01824162,  0.34850569,249.55,250.65, -0.00439825,  0.01850671,  0.01846305,  0.35273608,  0.01846305,  0.35273608
27-Jul-26,CUMMINSIND,5629.5,5600.5,  0.00516475,  0.01902685,  0.01898271,  0.36266417,5638.5,5622,  0.00293060,  0.01885723,  0.01881130,  0.35938935,  0.01898271,  0.36266417
27-Jul-26,DABUR,427.35,423.2,  0.00975847,  0.01463672,  0.01461626,  0.27924321,426.95,423.05,  0.00917653,  0.01472221,  0.01469957,  0.28083488,  0.01469957,  0.28083488
27-Jul-26,DALBHARAT,1826.4,1810.8,  0.00857808,  0.01794423,  0.01790972,  0.34216464,1825.5,1808.7,  0.00924557,  0.01810851,  0.01807506,  0.34532354,  0.01807506,  0.34532354
27-Jul-26,DELHIVERY,470,462.55,  0.01597804,  0.02035007,  0.02033066,  0.38841676,469.15,462.05,  0.01524944,  0.02045504,  0.02043234,  0.39035938,  0.02043234,  0.39035938
27-Jul-26,DIVISLAB,7413.5,7248.5,  0.02250811,  0.01475645,  0.01480521,  0.28285319,7421,7257,  0.02234730,  0.01456967,  0.01461902,  0.27929590,  0.01480521,  0.28285319
27-Jul-26,DIXON,13810,13846, -0.00260341,  0.02562223,  0.02555878,  0.48829986,13815,13855, -0.00289122,  0.02601873,  0.02595432,  0.49585667,  0.02595432,  0.49585667
27-Jul-26,DLF,650.85,637.2,  0.02119562,  0.02022360,  0.02022848,  0.38646453,650.1,638.2,  0.01847448,  0.02016516,  0.02015697,  0.38509834,  0.02022848,  0.38646453
27-Jul-26,DMART,4027.6,4018.8,  0.00218731,  0.01649862,  0.01645791,  0.31442800,4028.2,4021.9,  0.00156520,  0.01683737,  0.01679568,  0.32088095,  0.01679568,  0.32088095
27-Jul-26,DRREDDY,1150.8,1151.7, -0.00078176,  0.01486931,  0.01483231,  0.28337097,1153.7,1155.8, -0.00181858,  0.01501501,  0.01497796,  0.28615352,  0.01497796,  0.28615352
27-Jul-26,EICHERMOT,7769,7628,  0.01831577,  0.01719795,  0.01720373,  0.32867689,7773,7618,  0.02014232,  0.01700751,  0.01702475,  0.32525748,  0.01720373,  0.32867689
27-Jul-26,ETERNAL,295.85,280,  0.05506297,  0.02288244,  0.02315495,  0.44237465,294.6,280.45,  0.04922305,  0.02271033,  0.02291933,  0.43787321,  0.02315495,  0.44237465
27-Jul-26,EXIDEIND,427,443, -0.03678576,  0.01948115,  0.01960582,  0.37456875,426.95,441.6, -0.03373758,  0.01984526,  0.01993871,  0.38092843,  0.01993871,  0.38092843
27-Jul-26,FEDERALBNK,356.5,354.3,  0.00619023,  0.01620926,  0.01617461,  0.30901542,356.05,354.6,  0.00408078,  0.01590030,  0.01586314,  0.30306484,  0.01617461,  0.30901542
27-Jul-26,FINNIFTY,26126.2,,,,  0.01110260,  0.21211486,26177.6,25991.6,  0.00713067,  0.01086085,  0.01084548,  0.20720260,  0.01110260,  0.21211486
27-Jul-26,FOCIT,35452.3,34725.1,  0.02072477,  0.01548729,  0.01551800,  0.29647095,35507,,,  0.01514408,  0.01516386,  0.28970521,  0.01551800,  0.29647095
27-Jul-26,FORCEMOT,17273,17621, -0.01994678,  0.03226794,  0.03221806,  0.61552514,17281,17673, -0.02243042,  0.03275501,  0.03271148,  0.62495202,  0.03271148,  0.62495202
27-Jul-26,FORTIS,942.35,947.75, -0.00571400,  0.01726413,  0.01722565,  0.32909557,943.7,947.45, -0.00396585,  0.01702026,  0.01697999,  0.32440225,  0.01722565,  0.32909557
27-Jul-26,GAIL,174.23,170.02,  0.02446019,  0.01739644,  0.01743899,  0.33317144,174.75,169.94,  0.02791095,  0.01757459,  0.01764145,  0.33703943,  0.01764145,  0.33703943
27-Jul-26,GLENMARK,2196,2192.1,  0.00177754,  0.01850338,  0.01845749,  0.35263242,2198.1,2193.8,  0.00195815,  0.01842067,  0.01837505,  0.35105489,  0.01845749,  0.35263242
27-Jul-26,GMRAIRPORT,108,107.12,  0.00818153,  0.02019352,  0.02015132,  0.38499047,108.22,107.08,  0.01058997,  0.02047465,  0.02043709,  0.39045007,  0.02043709,  0.39045007
27-Jul-26,GODFRYPHLP,2208.9,2129.3,  0.03670137,  0.03321567,  0.03323400,  0.63493462,2198.4,2128.7,  0.03221836,  0.03333529,  0.03332978,  0.63676446,  0.03332978,  0.63676446
27-Jul-26,GODREJCP,1073.7,1059.5,  0.01331353,  0.01588508,  0.01587339,  0.30326071,1075.6,1061.1,  0.01357254,  0.01570615,  0.01569610,  0.29987364,  0.01587339,  0.30326071
27-Jul-26,GODREJPROP,2078.8,2028.6,  0.02444490,  0.02334817,  0.02335384,  0.44617458,2069,2020.3,  0.02381938,  0.02348072,  0.02348234,  0.44862940,  0.02348234,  0.44862940
27-Jul-26,GRASIM,3112.3,3089.4,  0.00738511,  0.01416695,  0.01414105,  0.27016432,3113.8,3087.1,  0.00861171,  0.01422791,  0.01420523,  0.27139060,  0.01420523,  0.27139060
27-Jul-26,GVT&D,4201.9,4157.4,  0.01064693,  0.02913280,  0.02906963,  0.55537443,4206.9,4176.6,  0.00722852,  0.02910597,  0.02903766,  0.55476364,  0.02906963,  0.55537443
27-Jul-26,HAL,4618.9,4573,  0.00998714,  0.01914807,  0.01911323,  0.36515770,4626.8,4580.1,  0.01014465,  0.01935201,  0.01931689,  0.36904858,  0.01931689,  0.36904858
27-Jul-26,HAVELLS,1237.4,1226.9,  0.00852174,  0.01555738,  0.01553007,  0.29670149,1237.7,1228.1,  0.00778656,  0.01584788,  0.01581794,  0.30220140,  0.01581794,  0.30220140
27-Jul-26,HCLTECH,1295.8,1271,  0.01932427,  0.01851417,  0.01851819,  0.35378949,1298.3,1274.4,  0.01858024,  0.01812567,  0.01812797,  0.34633445,  0.01851819,  0.35378949
27-Jul-26,HDFCAMC,2551.8,2505.7,  0.01823086,  0.02065679,  0.02064530,  0.39442790,2548.4,2504.8,  0.01725682,  0.02054675,  0.02053164,  0.39225638,  0.02064530,  0.39442790
27-Jul-26,HDFCBANK,739.55,742.8, -0.00438494,  0.01387393,  0.01384282,  0.26446672,741.1,744.45, -0.00451012,  0.01352117,  0.01349109,  0.25774556,  0.01384282,  0.26446672
27-Jul-26,HDFCLIFE,552.85,555.05, -0.00397148,  0.01462707,  0.01459312,  0.27880117,553.5,554.85, -0.00243605,  0.01435556,  0.01432059,  0.27359447,  0.01459312,  0.27880117
27-Jul-26,HEROMOTOCO,5113.5,5011.1,  0.02022865,  0.01657084,  0.01659105,  0.31697162,5112.7,5009.4,  0.02041149,  0.01670815,  0.01672864,  0.31960019,  0.01672864,  0.31960019
27-Jul-26,HINDALCO,945.25,942.8,  0.00259527,  0.01851486,  0.01846943,  0.35285788,946.55,944.15,  0.00253874,  0.01833248,  0.01828747,  0.34938176,  0.01846943,  0.35285788
27-Jul-26,HINDPETRO,393.9,381.1,  0.03303526,  0.02313142,  0.02319141,  0.44307120,394.95,382.5,  0.03203052,  0.02309174,  0.02314506,  0.44218568,  0.02319141,  0.44307120
27-Jul-26,HINDUNILVR,2174.5,2145,  0.01365920,  0.01280781,  0.01281221,  0.24477689,2174.8,2146.5,  0.01309810,  0.01259985,  0.01260254,  0.24077118,  0.01281221,  0.24477689
27-Jul-26,HINDZINC,529.65,531.95, -0.00433309,  0.02472950,  0.02466954,  0.47131087,529.45,531.75, -0.00433472,  0.02487533,  0.02481492,  0.47408830,  0.02481492,  0.47408830
27-Jul-26,HYUNDAI,1983.9,1952.6,  0.01590279,  0.01721612,  0.01720966,  0.32879017,1988.8,1952.6,  0.01836962,  0.01781179,  0.01781463,  0.34034796,  0.01781463,  0.34034796
27-Jul-26,ICICIBANK,1445.7,1432.9,  0.00889327,  0.01233299,  0.01231807,  0.23533640,1443.8,1431.8,  0.00834613,  0.01190271,  0.01188739,  0.22710819,  0.01231807,  0.23533640
27-Jul-26,ICICIGI,1681.1,1661.8,  0.01154699,  0.01633628,  0.01631571,  0.31171116,1682.8,1666.4,  0.00979346,  0.01634595,  0.01631973,  0.31178802,  0.01631973,  0.31178802
27-Jul-26,ICICIPRULI,509.8,500.55,  0.01831100,  0.01670020,  0.01670874,  0.31922001,509.3,501.35,  0.01573277,  0.01680878,  0.01680372,  0.32103456,  0.01680372,  0.32103456
27-Jul-26,IDEA,13.06,13.13, -0.00534556,  0.03082123,  0.03074643,  0.58740977,13.1,13.16, -0.00456970,  0.03102207,  0.03094612,  0.59122486,  0.03094612,  0.59122486
27-Jul-26,IDFCFIRSTB,84.86,80.79,  0.04914964,  0.01999046,  0.02024106,  0.38670483,84.95,80.96,  0.04810764,  0.02015593,  0.02039122,  0.38957304,  0.02039122,  0.38957304
27-Jul-26,IEX,126.76,124.26,  0.01991939,  0.02487320,  0.02485097,  0.47477704,126.93,124.48,  0.01949069,  0.02507250,  0.02504768,  0.47853525,  0.02504768,  0.47853525
27-Jul-26,INDHOTEL,733.75,727.45,  0.00862310,  0.01748269,  0.01744958,  0.33337143,733.1,726.65,  0.00883719,  0.01743026,  0.01739774,  0.33238340,  0.01744958,  0.33337143
27-Jul-26,INDIANB,831.25,826.1,  0.00621476,  0.02153719,  0.02148776,  0.41052309,831.05,825.5,  0.00670070,  0.02148634,  0.02143773,  0.40956723,  0.02148776,  0.41052309
27-Jul-26,INDIGO,5230,4985,  0.04797787,  0.02126312,  0.02147950,  0.41036521,5233.5,4994.5,  0.04674296,  0.02094764,  0.02115492,  0.40416413,  0.02147950,  0.41036521
27-Jul-26,INDUSINDBK,1007.05,996.05,  0.01098309,  0.02200533,  0.02196398,  0.41961932,1007.1,996.65,  0.01043054,  0.02196259,  0.02192013,  0.41878353,  0.02196398,  0.41961932
27-Jul-26,INDUSTOWER,387.6,394.6, -0.01789871,  0.01819297,  0.01819140,  0.34754615,388.25,394.25, -0.01533576,  0.01812477,  0.01811189,  0.34602866,  0.01819140,  0.34754615
27-Jul-26,INFY,1079.1,1040.9,  0.03604164,  0.01850977,  0.01863845,  0.35608715,1080,1044.5,  0.03342274,  0.01786141,  0.01797276,  0.34336917,  0.01863845,  0.35608715
27-Jul-26,INOXWIND,78.23,76.97,  0.01623747,  0.02751672,  0.02747185,  0.52484892,78.33,76.94,  0.01790477,  0.02779488,  0.02775428,  0.53024479,  0.02775428,  0.53024479
27-Jul-26,IOC,141.5,138.47,  0.02164602,  0.01757734,  0.01759994,  0.33624642,141.76,138.65,  0.02218271,  0.01777454,  0.01779918,  0.34005281,  0.01779918,  0.34005281
27-Jul-26,IREDA,120.29,120.48, -0.00157827,  0.02289342,  0.02283642,  0.43628912,120.5,120.53, -0.00024893,  0.02467358,  0.02461191,  0.47020998,  0.02461191,  0.47020998
27-Jul-26,IRFC,88.11,87.62,  0.00557675,  0.02127769,  0.02122809,  0.40556209,88.33,,,  0.02230459,  0.02225172,  0.42511844,  0.02225172,  0.42511844
27-Jul-26,ITC,285.85,283.45,  0.00843146,  0.01222295,  0.01220690,  0.23321253,286.35,283.95,  0.00841667,  0.01216465,  0.01214884,  0.23210325,  0.01220690,  0.23321253
27-Jul-26,JINDALSTEL,1065.7,1035.8,  0.02845779,  0.01850057,  0.01856362,  0.35465741,1065,1037.2,  0.02645002,  0.01830842,  0.01835811,  0.35073214,  0.01856362,  0.35465741
27-Jul-26,JIOFIN,236.17,234.71,  0.00620118,  0.01887591,  0.01883377,  0.35981861,236.43,234.89,  0.00653486,  0.01947280,  0.01942955,  0.37120111,  0.01942955,  0.37120111
27-Jul-26,JSWENERGY,549.7,551.65, -0.00354111,  0.02164134,  0.02158868,  0.41245108,550.95,553.55, -0.00470802,  0.02175881,  0.02170699,  0.41471153,  0.02170699,  0.41471153
27-Jul-26,JSWSTEEL,1244.6,1240.8,  0.00305786,  0.01537657,  0.01533964,  0.29306341,1243.2,1242,  0.00096572,  0.01542037,  0.01538199,  0.29387257,  0.01538199,  0.29387257
27-Jul-26,JUBLFOOD,427.45,418.25,  0.02175798,  0.02025389,  0.02026169,  0.38709904,,,  0.02301665,  0.01997047,  0.01998686,  0.38184850,  0.02026169,  0.38709904
27-Jul-26,KALYANKJIL,564.6,573.5, -0.01564042,  0.03110928,  0.03105115,  0.59323146,564.6,573.85, -0.01625052,  0.03108697,  0.03103044,  0.59283578,  0.03105115,  0.59323146
27-Jul-26,KAYNES,3181.6,3176.2,  0.00169870,  0.03354586,  0.03346218,  0.63929413,3187.8,3186.2,  0.00050204,  0.03480934,  0.03472222,  0.66336715,  0.03472222,  0.66336715
27-Jul-26,KEI,4873,4868,  0.00102659,  0.02288757,  0.02283038,  0.43617372,4893,4887,  0.00122699,  0.02309342,  0.02303586,  0.44009954,  0.02303586,  0.44009954
27-Jul-26,KFINTECH,949.25,857.75,  0.10135952,  0.02459183,  0.02555592,  0.48824513,948.9,857.2,  0.10163216,  0.02551304,  0.02644449,  0.50522121,  0.02644449,  0.50522121
27-Jul-26,KOTAKBANK,384.65,384.75, -0.00025994,  0.01437008,  0.01433415,  0.27385355,385.65,385.5,  0.00038903,  0.01405839,  0.01402329,  0.26791451,  0.01433415,  0.27385355
27-Jul-26,KPITTECH,585.2,583.2,  0.00342349,  0.02610119,  0.02603698,  0.49743504,586.25,585.35,  0.00153636,  0.02614441,  0.02607919,  0.49824223,  0.02607919,  0.49824223
27-Jul-26,LAURUSLABS,,1601.2,,  0.01993936,  0.02045792,  0.39084797,1711.1,1603.5,  0.06494770,  0.01976014,  0.02023862,  0.38665834,  0.02045792,  0.39084797
27-Jul-26,LICHSGFIN,551.75,538.95,  0.02347224,  0.01719956,  0.01723646,  0.32930211,553.3,538.25,  0.02757721,  0.01740682,  0.01747248,  0.33381124,  0.01747248,  0.33381124
27-Jul-26,LICI,424.3,421.3,  0.00709558,  0.01632638,  0.01629322,  0.31128153,425.4,422.5,  0.00684046,  0.01708548,  0.01704947,  0.32572966,  0.01704947,  0.32572966
27-Jul-26,LODHA,1198.75,1144.1,  0.04666105,  0.02501093,  0.02516562,  0.48078853,1197.8,1144.95,  0.04512557,  0.02455325,  0.02469877,  0.47186858,  0.02516562,  0.48078853
27-Jul-26,LT,3806,3785.6,  0.00537437,  0.01649693,  0.01646002,  0.31446906,3809.3,3792.4,  0.00444638,  0.01644540,  0.01640721,  0.31345934,  0.01646002,  0.31446906
27-Jul-26,LTF,312.2,302.4,  0.03189336,  0.02192163,  0.02198279,  0.41998065,311.85,302.1,  0.03176421,  0.02183520,  0.02189614,  0.41832517,  0.02198279,  0.41998065
27-Jul-26,LTM,4190.1,4091.9,  0.02371519,  0.02024730,  0.02026604,  0.38718211,4192.6,4091.5,  0.02440942,  0.01996179,  0.01998649,  0.38183990,  0.02026604,  0.38718211
27-Jul-26,LUPIN,2410,2370.5,  0.01652584,  0.01459754,  0.01460788,  0.27908310,2413.6,2375,  0.01612197,  0.01464805,  0.01465595,  0.28000145,  0.01465595,  0.28000145
27-Jul-26,M&M,3238.6,3161.4,  0.02412617,  0.01816501,  0.01819974,  0.34770553,3233.1,3158.2,  0.02343918,  0.01780297,  0.01783570,  0.34075059,  0.01819974,  0.34770553
27-Jul-26,MANAPPURAM,359.85,352.95,  0.01936087,  0.02257298,  0.02255807,  0.43097132,361.05,352.3,  0.02453337,  0.02245838,  0.02246926,  0.42927456,  0.02255807,  0.43097132
27-Jul-26,MANKIND,2551.6,2507.1,  0.01759391,  0.01738030,  0.01738124,  0.33206805,2550.2,2512,  0.01509254,  0.01717958,  0.01716983,  0.32802923,  0.01738124,  0.33206805
27-Jul-26,MARICO,858.65,855.6,  0.00355841,  0.01226595,  0.01223769,  0.23380074,859.15,852.95,  0.00724260,  0.01200879,  0.01198963,  0.22906156,  0.01223769,  0.23380074
27-Jul-26,MARUTI,13729,13442,  0.02112625,  0.01526732,  0.01530216,  0.29234738,13719,13446,  0.02010007,  0.01518395,  0.01521241,  0.29063262,  0.01530216,  0.29234738
27-Jul-26,MAXHEALTH,1114.5,1080.4,  0.03107453,  0.01864844,  0.01873097,  0.35785473,1112.5,1079.6,  0.03001913,  0.01840949,  0.01848570,  0.35316885,  0.01873097,  0.35785473
